# DEMO/SYNTHETIC TEST AIS DATA -- NOT REAL MARITIME TELEMETRY
# SIH 2026 Problem Statement 26143 -- AIS Vessel Tracking Module
vessel_id,timestamp,latitude,longitude,speed_knots,heading_deg
VESSEL_001,2026-08-20T14:15:00Z,12.8475,74.7225,12.4,142.0
VESSEL_001,2026-08-20T14:20:00Z,12.849,74.721,12.4,142.0
VESSEL_001,2026-08-20T14:25:00Z,12.8505,74.7195,12.4,142.0
VESSEL_001,2026-08-20T14:30:00Z,12.852,74.718,12.4,142.0
VESSEL_001,2026-08-20T14:35:00Z,12.8535,74.7165,12.4,142.0
VESSEL_001,2026-08-20T14:40:00Z,12.855,74.715,12.4,142.0
VESSEL_001,2026-08-20T14:45:00Z,12.8565,74.7135,12.4,142.0
VESSEL_002,2026-08-20T14:10:00Z,12.871,74.726,14.1,210.0
VESSEL_002,2026-08-20T14:30:00Z,12.875,74.73,14.1,210.0
VESSEL_002,2026-08-20T14:50:00Z,12.879,74.734,14.1,210.0
VESSEL_003,2026-08-20T14:20:00Z,12.979,74.779,18.0,340.0
VESSEL_003,2026-08-20T14:30:00Z,12.98,74.78,18.0,340.0
VESSEL_003,2026-08-20T14:40:00Z,12.981,74.781,18.0,340.0
VESSEL_004,2026-08-20T18:55:00Z,12.85,74.72,11.5,175.0
VESSEL_004,2026-08-20T19:00:00Z,12.851,74.721,11.5,175.0
VESSEL_004,2026-08-20T19:05:00Z,12.852,74.722,11.5,175.0
VESSEL_005,2026-08-20T14:20:00Z,12.794,74.744,,
VESSEL_005,2026-08-20T14:40:00Z,12.796,74.746,,
